zone_name,zone_id,capacity,type
Zone_483,483,-1,0
Zone_484,484,-1,0
Zone_485,485,-1,0
Zone_486,486,-1,0
Zone_487,487,-1,0
Zone_488,488,-1,0
Zone_489,489,-1,0
Zone_490,490,-1,0
Zone_491,491,-1,0
Zone_492,492,-1,0
Zone_493,493,-1,0
Zone_494,494,-1,0
Zone_495,495,-1,0
Zone_496,496,-1,0
Zone_497,497,-1,0
Zone_498,498,-1,0
Zone_499,499,-1,0
Zone_500,500,-1,0
Zone_501,501,-1,0
Zone_502,502,-1,0
Zone_503,503,-1,0
Zone_504,504,-1,0
Zone_505,505,-1,0
Zone_506,506,-1,0
Zone_507,507,-1,0
Zone_508,508,-1,0
Zone_509,509,-1,0
Zone_510,510,-1,0
Zone_511,511,-1,0
Zone_512,512,-1,0
Zone_513,513,-1,0
Zone_514,514,-1,0
Zone_515,515,-1,0
Zone_516,516,-1,0
Zone_517,517,-1,0
Zone_518,518,-1,0
Zone_519,519,-1,0
Zone_520,520,-1,0
Zone_521,521,-1,0
Zone_522,522,-1,0
Zone_523,523,-1,0
Zone_524,524,-1,0
Zone_525,525,-1,0
Zone_526,526,-1,0
Zone_527,527,-1,0
Zone_528,528,-1,1
Zone_529,529,-1,0
Zone_530,530,-1,0
Zone_531,531,-1,0
Zone_532,532,-1,0
Zone_533,533,-1,0
Zone_534,534,-1,0
Zone_535,535,-1,0
Zone_536,536,-1,0
Zone_537,537,-1,0
Zone_538,538,-1,0
Zone_539,539,-1,0
Zone_540,540,-1,0
Zone_541,541,-1,0
Zone_542,542,-1,0
Zone_543,543,-1,0
Zone_544,544,-1,0
Zone_545,545,-1,0
Zone_546,546,-1,0
Zone_547,547,-1,0
Zone_548,548,-1,0
Zone_549,549,-1,0
Zone_550,550,-1,0
Zone_551,551,-1,0
Zone_552,552,-1,0
Zone_553,553,-1,0
Zone_554,554,-1,0
Zone_555,555,-1,0
Zone_556,556,-1,0
Zone_557,557,-1,0
Zone_558,558,-1,0
Zone_559,559,-1,0
Zone_560,560,-1,0
Zone_561,561,-1,0
Zone_562,562,-1,0
Zone_563,563,-1,0
Zone_564,564,-1,0
Zone_565,565,-1,0
Zone_566,566,-1,0
Zone_567,567,-1,0
Zone_568,568,-1,0
Zone_569,569,-1,1
Zone_570,570,-1,1
Zone_571,571,-1,0
Zone_572,572,-1,0
Zone_573,573,-1,0
Zone_574,574,-1,0
Zone_575,575,-1,0
Zone_576,576,-1,0
Zone_577,577,-1,0
Zone_578,578,-1,0
Zone_579,579,-1,0
Zone_580,580,-1,0
Zone_581,581,-1,0
Zone_582,582,-1,0
Zone_583,583,-1,0
Zone_584,584,-1,0
Zone_585,585,-1,0
Zone_586,586,-1,0
Zone_587,587,-1,0
Zone_588,588,-1,0
Zone_589,589,-1,0
Zone_590,590,-1,0
Zone_591,591,-1,0
Zone_592,592,-1,0
Zone_593,593,-1,0
Zone_594,594,-1,0
Zone_595,595,-1,0
Zone_596,596,-1,0
Zone_597,597,-1,0
Zone_598,598,-1,0
Zone_599,599,-1,0
Zone_600,600,-1,0
Zone_601,601,-1,0
Zone_602,602,-1,0
Zone_603,603,-1,0
Zone_604,604,-1,0
Zone_605,605,-1,0
Zone_606,606,-1,0
Zone_607,607,-1,0
Zone_608,608,-1,0
Zone_609,609,-1,1
Zone_610,610,-1,0
Zone_611,611,-1,0
Zone_612,612,-1,0
Zone_613,613,-1,0
Zone_614,614,-1,0
Zone_615,615,-1,0
Zone_616,616,-1,0
Zone_617,617,-1,0
Zone_618,618,-1,0
Zone_619,619,-1,0
Zone_620,620,-1,0
Zone_621,621,-1,0
Zone_622,622,-1,0
Zone_623,623,-1,0
Zone_624,624,-1,0
Zone_625,625,-1,0
Zone_626,626,-1,0
Zone_627,627,-1,0
Zone_628,628,-1,0
Zone_629,629,-1,0
Zone_630,630,-1,0
Zone_631,631,-1,0
Zone_632,632,-1,0
Zone_633,633,-1,0
Zone_634,634,-1,0
Zone_635,635,-1,0
Zone_636,636,-1,0
Zone_637,637,-1,0
Zone_638,638,-1,0
Zone_639,639,-1,0
Zone_640,640,-1,0
Zone_641,641,-1,0
Zone_642,642,-1,0
Zone_643,643,-1,0
Zone_644,644,-1,0
Zone_645,645,-1,0
Zone_646,646,-1,0
Zone_647,647,-1,0
Zone_648,648,-1,0
Zone_649,649,-1,0
Zone_650,650,-1,0
Zone_651,651,-1,0
Zone_652,652,-1,0
Zone_653,653,-1,0
Zone_654,654,-1,0
Zone_655,655,-1,0
Zone_656,656,-1,0
Zone_657,657,-1,0
Zone_658,658,-1,0
Zone_659,659,-1,0
Zone_660,660,-1,0
Zone_661,661,-1,0
Zone_662,662,-1,0
Zone_663,663,-1,0
Zone_664,664,-1,0
Zone_665,665,-1,0
Zone_666,666,-1,0
Zone_667,667,-1,0
Zone_668,668,-1,0
Zone_669,669,-1,0
Zone_670,670,-1,0
Zone_671,671,-1,0
Zone_672,672,-1,0
Zone_673,673,-1,1
Zone_674,674,-1,0
Zone_675,675,-1,0
Zone_676,676,-1,0
Zone_677,677,-1,0
Zone_678,678,-1,0
Zone_679,679,-1,0
Zone_680,680,-1,0
Zone_681,681,-1,0
Zone_682,682,-1,0
Zone_683,683,-1,0
Zone_684,684,-1,0
Zone_685,685,-1,0
Zone_686,686,-1,0
Zone_687,687,-1,0
Zone_688,688,-1,0
Zone_689,689,-1,0
Zone_690,690,-1,1
Zone_691,691,-1,1
Zone_692,692,-1,0
Zone_693,693,-1,0
Zone_694,694,-1,0
Zone_695,695,-1,0
Zone_696,696,-1,0
Zone_697,697,-1,0
Zone_698,698,-1,0
Zone_699,699,-1,0
Zone_700,700,-1,0
Zone_701,701,-1,0
Zone_702,702,-1,0
Zone_703,703,-1,0
Zone_704,704,-1,0
Zone_705,705,-1,0
Zone_706,706,-1,0
Zone_707,707,-1,0
Zone_708,708,-1,0
Zone_709,709,-1,0
Zone_710,710,-1,0
Zone_711,711,-1,0
Zone_712,712,-1,0
Zone_713,713,-1,0
Zone_714,714,-1,0
Zone_715,715,-1,0
Zone_716,716,-1,0
Zone_717,717,-1,0
Zone_718,718,-1,0
Zone_719,719,-1,0
Zone_720,720,-1,0
Zone_721,721,-1,0
Zone_722,722,-1,0
Zone_723,723,-1,0
Zone_724,724,-1,0
Zone_725,725,-1,0
Zone_726,726,-1,0
Zone_727,727,-1,0
Zone_728,728,-1,0
Zone_729,729,-1,0
Zone_730,730,-1,0
Zone_731,731,-1,0
Zone_732,732,-1,0
Zone_733,733,-1,0
Zone_734,734,-1,0
Zone_735,735,-1,0
Zone_736,736,-1,0
Zone_737,737,-1,0
Zone_738,738,-1,0
Zone_739,739,-1,0
Zone_740,740,-1,0
Zone_741,741,-1,0
Zone_742,742,-1,0
Zone_743,743,-1,0
Zone_744,744,-1,0
Zone_745,745,-1,0
Zone_746,746,-1,0
Zone_747,747,-1,0
Zone_748,748,-1,0
Zone_749,749,-1,0
Zone_750,750,-1,0
Zone_751,751,-1,0
Zone_752,752,-1,0
Zone_753,753,-1,0
Zone_754,754,-1,0
Zone_755,755,-1,0
Zone_756,756,-1,0
Zone_757,757,-1,0
Zone_758,758,-1,0
Zone_759,759,-1,0
Zone_760,760,-1,0
Zone_761,761,-1,1
Zone_762,762,-1,1
